Player,OPP,MP,FGAVG,FGAAVG,FG%AVG,3PAVG,3PAAVG,3P%AVG,FTAVG,FTAAVG,FT%AVG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,+/-,Bucket
Doncic,SAS,1.43,,,,,,,,,,1.00,12.00,13.00,10.00,2.00,0.00,4.00,1.00,28.40,4.00,7.00
Doncic,BRK,1.50,,,,,,,,,,1.00,9.00,10.00,7.00,0.00,0.00,0.00,1.00,45.00,9.00,10.00
Doncic,MEM,1.67,14.50,25.00,0.58,6.00,12.50,0.46,6.00,8.50,0.69,0.00,12.00,12.00,12.00,1.00,1.00,6.00,4.00,28.90,6.00,7.00
Doncic,CHI,1.67,13.50,23.50,0.57,7.50,13.00,0.57,7.50,10.00,0.75,0.00,7.00,7.00,10.00,2.00,1.00,6.00,2.00,13.00,11.00,4.00
Doncic,DEN,1.59,8.00,19.00,0.41,3.50,10.00,0.31,7.00,9.50,0.74,3.00,7.00,10.00,8.00,0.00,1.00,9.00,2.00,21.90,-4.00,7.00
Doncic,CHO,1.52,8.00,20.00,0.39,3.50,9.50,0.34,6.50,8.00,0.82,1.00,11.00,12.00,9.00,0.00,1.00,4.00,3.00,18.30,3.00,5.00
Doncic,ORL,1.46,9.50,21.50,0.44,3.50,10.00,0.33,6.00,7.00,0.86,0.00,3.00,3.00,6.00,2.00,0.00,6.00,2.00,21.00,7.00,6.00
Doncic,TOR,1.60,8.50,18.00,0.48,3.00,9.50,0.31,6.00,6.50,0.93,0.00,7.00,7.00,8.00,4.00,1.00,4.00,3.00,23.20,-7.00,7.00
Doncic,LAC,1.32,10.00,21.50,0.48,3.50,10.00,0.35,6.50,8.00,0.85,0.00,6.00,6.00,6.00,1.00,0.00,1.00,1.00,41.70,32.00,9.00
Doncic,NOP,1.17,14.00,23.50,0.62,4.00,9.50,0.43,5.50,7.00,0.85,0.00,4.00,4.00,9.00,1.00,0.00,2.00,0.00,27.90,14.00,6.00
Doncic,NOP,1.09,14.00,19.50,0.71,5.00,9.00,0.56,4.00,4.50,0.90,1.00,1.00,2.00,2.00,0.00,0.00,8.00,0.00,0.40,-26.00,4.00
Doncic,WAS,1.35,8.00,17.00,0.46,3.50,7.00,0.52,3.50,5.00,0.70,1.00,6.00,7.00,10.00,0.00,0.00,3.00,2.00,20.30,12.00,6.00
Doncic,MIL,1.47,6.00,17.00,0.35,3.50,8.00,0.48,5.50,8.50,0.63,1.00,8.00,9.00,9.00,0.00,0.00,3.00,1.00,27.60,-17.00,7.00
Doncic,SAC,1.32,11.00,22.00,0.48,4.00,10.00,0.40,4.50,8.00,0.46,1.00,9.00,10.00,7.00,3.00,0.00,2.00,0.00,23.00,-14.00,5.00
Doncic,LAL,1.61,11.00,22.50,0.47,3.50,8.00,0.44,4.50,7.00,0.53,0.00,12.00,12.00,8.00,2.00,0.00,0.00,2.00,25.80,-11.00,6.00
Doncic,LAC,1.59,8.50,22.50,0.38,3.00,9.50,0.34,7.50,9.00,0.84,0.00,3.00,3.00,4.00,2.00,2.00,4.00,4.00,17.40,-14.00,6.00
Doncic,HOU,1.58,11.00,26.50,0.41,2.00,10.00,0.19,6.00,6.50,0.94,0.00,9.00,9.00,9.00,2.00,0.00,0.00,3.00,36.10,12.00,9.00
Doncic,OKC,1.92,13.50,28.00,0.48,2.00,9.00,0.21,6.50,7.00,0.94,2.00,13.00,15.00,18.00,2.00,2.00,7.00,2.00,36.50,-7.00,8.00
Doncic,UTA,1.33,13.00,25.50,0.51,4.00,11.50,0.34,8.50,11.50,0.77,2.00,8.00,10.00,11.00,1.00,0.00,4.00,2.00,35.00,34.00,8.00
Doncic,POR,1.71,12.50,23.50,0.53,5.50,12.50,0.44,7.50,11.00,0.70,0.00,6.00,6.00,10.00,1.00,1.00,5.00,1.00,21.50,13.00,7.00
Doncic,MEM,1.83,12.50,26.50,0.48,4.50,13.00,0.36,6.50,8.00,0.81,0.00,8.00,8.00,6.00,2.00,2.00,3.00,3.00,29.30,3.00,7.00
Doncic,LAL,1.81,10.00,24.50,0.41,4.00,12.00,0.36,9.50,10.50,0.90,0.00,6.00,6.00,17.00,1.00,0.00,4.00,0.00,28.90,10.00,7.00
Doncic,MIN,1.64,10.50,24.50,0.43,4.00,10.00,0.40,9.00,9.50,0.96,1.00,5.00,6.00,13.00,2.00,0.00,8.00,2.00,30.60,-12.00,8.00
Doncic,POR,1.56,13.50,27.50,0.49,2.50,8.50,0.29,6.50,6.50,1.00,2.00,10.00,12.00,10.00,1.00,0.00,4.00,3.00,33.60,-4.00,8.00
Doncic,DEN,1.52,15.00,27.50,0.55,3.00,9.50,0.31,6.50,6.50,1.00,3.00,8.00,11.00,8.00,0.00,0.00,3.00,1.00,31.50,-29.00,8.00
Doncic,LAC,1.85,14.00,26.00,0.54,5.00,12.00,0.42,6.00,8.00,0.80,1.00,8.00,9.00,10.00,1.00,0.00,5.00,1.00,17.40,-4.00,6.00
Doncic,SAS,1.32,11.00,24.50,0.45,4.00,11.50,0.34,7.00,12.00,0.59,2.00,10.00,12.00,10.00,1.00,1.00,2.00,1.00,34.80,37.00,8.00
Doncic,PHO,1.81,11.00,26.00,0.42,3.50,10.50,0.34,8.00,12.50,0.65,1.00,5.00,6.00,15.00,4.00,3.00,4.00,2.00,52.50,16.00,10.00
Doncic,CLE,1.53,14.00,26.00,0.54,6.50,13.00,0.50,10.00,11.50,0.86,0.00,7.00,7.00,6.00,2.00,2.00,5.00,0.00,28.20,-9.00,8.00
Doncic,GSW,1.56,14.50,27.00,0.54,5.50,13.00,0.40,10.00,11.00,0.90,0.00,8.00,8.00,10.00,1.00,1.00,4.00,3.00,29.80,9.00,8.00
Doncic,UTA,1.41,14.00,29.00,0.48,4.00,11.50,0.34,7.00,8.50,0.83,0.00,6.00,6.00,14.00,1.00,0.00,4.00,1.00,14.80,-17.00,4.00
Doncic,POR,1.27,10.00,24.50,0.39,4.00,13.00,0.31,5.00,6.50,0.76,0.00,6.00,6.00,5.00,1.00,0.00,4.00,1.00,32.20,23.00,9.00
